# Required Format : YYYY;MM;DD;HH;MM;SS;TZ (QC or AB)
2025;08;09;13;00;00;AB
2025;08;09;13;15;00;AB
2025;08;09;14;15;00;AB
2025;08;09;14;25;00;AB
2025;08;10;00;15;00;AB
2025;08;10;00;30;00;AB
2025;08;10;01;15;00;AB
2025;08;10;01;25;00;AB
2025;08;10;06;45;00;AB
2025;08;10;07;00;00;AB
2025;08;10;08;00;00;AB
2025;08;10;08;10;00;AB
2025;08;10;15;30;00;AB
2025;08;10;15;45;00;AB
2025;08;10;16;45;00;AB
2025;08;10;16;55;00;AB
2025;08;11;09;15;00;AB
2025;08;11;09;30;00;AB
2025;08;11;10;30;00;AB
2025;08;11;10;40;00;AB
