Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.112849924193879,-0.232793382157193,0.183076177862911,0,0,0,45.6227535447207,1.84588066123249,1.04398822934002E-09,-2.19695722126716E-08,1.12675188376899,-5.73876173682643E-05,2.83493149680154,0,0,0,0,0,0,package://R2_SIMPLIFIED/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://R2_SIMPLIFIED/meshes/base_link.STL,,SIM_FRM _1_-1/Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
ROCKER_L,0.0576803895536336,0.0340847304368007,0.031349999159246,0,0,0,6.7188177795508,0.0336800630880808,-0.0365712848373038,1.4725618469712E-09,0.459728619591422,7.03370858783066E-10,0.489006412488076,0,0,0,0,0,0,package://R2_SIMPLIFIED/meshes/ROCKER_L.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://R2_SIMPLIFIED/meshes/ROCKER_L.STL,,SIM_FRM _1_-1/Rocker-1,Origin_ROCKER_L,Axis5,ROCKER_L,revolute,0.376599926472001,-0.206807225712418,0.0788212836295461,1.5707963267949,0,1.5707963267949,base_link,0,0,1,0,0,-0.35,0.35,,,,,,,,
WHEEL_FL,9.42478317611517E-11,2.81360871927372E-09,-0.0649999999999999,0,0,0,7.55389670370359,0.045567622882308,1.52458161818203E-18,-3.52208858329878E-11,0.045567622882308,-1.05145916727233E-09,0.0698584367158508,0,0,0,0,0,0,package://R2_SIMPLIFIED/meshes/WHEEL_FL.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://R2_SIMPLIFIED/meshes/WHEEL_FL.STL,,SIM_FRM _1_-1/Wheel-2,Origin_WHEEL_FL,Axis2,WHEEL_FL,revolute,-0.37995,-0.082166,0.1927,0,0,3.1416,ROCKER_L,0,0,-1,0,20,-9999,9999,,,,,,,,
WHEEL_RL,9.42478872723029E-11,2.8136087197074E-09,-0.0650000000000001,0,0,0,7.55389670370359,0.045567622882308,1.52458158197648E-18,-3.52208867726297E-11,0.045567622882308,-1.05145916727233E-09,0.0698584367158508,0,0,0,0,0,0,package://R2_SIMPLIFIED/meshes/WHEEL_RL.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://R2_SIMPLIFIED/meshes/WHEEL_RL.STL,,SIM_FRM _1_-1/Wheel-1,Origin_WHEEL_RL,Axis4,WHEEL_RL,revolute,0.37546,-0.082166,0.1927,0,0,3.1416,ROCKER_L,0,0,-1,0,20,-9999,9999,,,,,,,,
ROCKER_R,0.0576803900595148,0.0340847288843424,0.0313499999163654,0,0,0,6.71881777955079,0.0336800620025095,-0.0365712785139467,6.60208857817009E-10,0.459728620676994,5.30271193222645E-11,0.489006412488076,0,0,0,0,0,0,package://R2_SIMPLIFIED/meshes/ROCKER_R.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://R2_SIMPLIFIED/meshes/ROCKER_R.STL,,SIM_FRM _1_-1/Rocker-2,Origin_ROCKER_R,Axis5,ROCKER_R,revolute,-0.213600073527999,-0.206807226568189,0.0788212705195118,1.57079630458203,0,1.5707963267949,base_link,0,0,1,0,0,-0.35,0.35,,,,,,,,
WHEEL_FR,9.42478317611517E-11,2.81360889231239E-09,-0.0649999999999999,0,0,0,7.55389670370359,0.045567622882308,1.52458164381907E-18,-3.52208928881465E-11,0.045567622882308,-1.05145923201004E-09,0.0698584367158508,0,0,0,0,0,0,package://R2_SIMPLIFIED/meshes/WHEEL_FR.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://R2_SIMPLIFIED/meshes/WHEEL_FR.STL,,SIM_FRM _1_-1/Wheel-4,Origin_WHEEL_FR,Axis1,WHEEL_FR,revolute,-0.37995,-0.082166,0,0,0,3.1416,ROCKER_R,0,0,-1,0,20,-9999,9999,,,,,,,,
WHEEL_RR,9.42479150278785E-11,2.8136088918787E-09,-0.0649999999999999,0,0,0,7.55389670370359,0.045567622882308,1.52458164726758E-18,-3.52208937162165E-11,0.045567622882308,-1.05145923201005E-09,0.0698584367158508,0,0,0,0,0,0,package://R2_SIMPLIFIED/meshes/WHEEL_RR.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://R2_SIMPLIFIED/meshes/WHEEL_RR.STL,,SIM_FRM _1_-1/Wheel-3,Origin_WHEEL_RR,Axis3,WHEEL_RR,revolute,0.37546,-0.082166,0,0,0,3.1416,ROCKER_R,0,0,-1,0,20,-9999,9999,,,,,,,,
ARM_BASE,1.02279161529051E-09,-0.047089419372485,-0.0160000007631,0,0,0,0.512622788118868,0.000613229200662848,-4.02085115564534E-10,2.55936278786985E-11,0.0187146793041696,7.29712111871036E-12,0.0182643881537346,0,0,0,0,0,0,package://R2_SIMPLIFIED/meshes/ARM_BASE.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://R2_SIMPLIFIED/meshes/ARM_BASE.STL,,R2-ARM _1_-1/Base_URDF-1,Origin_ARM_BASE,Axis_ARM_BASE,ARM_BASE,fixed,0.112849921482684,-0.534649030081587,0.324835277458115,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
J0,7.20420056943283E-10,-0.0335267651815728,-0.0167627980793654,0,0,0,0.14826651920567,0.00011591934555788,-1.48004342673991E-12,-2.71691293871367E-14,0.000182606021235804,8.68222887030358E-07,0.00011048235881137,0,0,0,0,0,0,package://R2_SIMPLIFIED/meshes/J0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://R2_SIMPLIFIED/meshes/J0.STL,,R2-ARM _1_-1/JLIN_URDF-1,Origin_J0,Axis6,J0,prismatic,-0.280853102003418,0,0,0,0,0,ARM_BASE,1,0,0,0,10,-3.14,3.14,,,,,,,,
J1,1.54442730826432E-09,0.0695285258445674,-0.0219577889830469,0,0,0,0.874667906519395,0.00387731017393926,-6.75046270925802E-11,8.91524305608391E-12,0.000838322154710346,0.000401355383634096,0.00350170489650647,0,0,0,0,0,0,package://R2_SIMPLIFIED/meshes/J1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://R2_SIMPLIFIED/meshes/J1.STL,,R2-ARM _1_-1/J0_URDF-1,Origin_J1,Axis7,J1,revolute,0,0,0,3.14159265358979,0,3.14159265358979,J0,0,1,0,0,10,-3.14,3.14,,,,,,,,
